,iteration,subject,session,run,task,ts_CAPS,pearson_r,eye_features,eeg_features_channel,eeg_features_band
194,10,sub-20,ses-01,run-01,task-checker,tsCAP6,-0.13387980270609742,['pupil_dilation'],NA,NA
195,10,sub-20,ses-02,run-01,task-checker,tsCAP6,-0.10723691737084197,['pupil_dilation'],NA,NA
196,10,sub-20,ses-01,run-01,task-checker,tsCAP7,-0.22644008401402835,['pupil_dilation'],NA,NA
197,10,sub-20,ses-02,run-01,task-checker,tsCAP7,-0.07162763031219439,['pupil_dilation'],NA,NA
198,10,sub-20,ses-01,run-01,task-checker,tsCAP8,-0.2854320010582491,['pupil_dilation'],NA,NA
199,10,sub-20,ses-02,run-01,task-checker,tsCAP8,-0.10994738308916699,['pupil_dilation'],NA,NA
200,10,sub-21,ses-01,run-01,task-checker,tsCAP1,0.3825887503750701,['pupil_dilation'],NA,NA
201,10,sub-21,ses-01,run-01,task-checker,tsCAP2,0.3720531306958312,['first_derivative'],NA,NA
202,10,sub-21,ses-01,run-01,task-checker,tsCAP3,0.3914191327133706,['first_derivative'],NA,NA
203,10,sub-21,ses-01,run-01,task-checker,tsCAP4,0.7706606505417982,['pupil_dilation'],NA,NA
204,10,sub-21,ses-01,run-01,task-checker,tsCAP5,0.35443992605377367,['first_derivative'],NA,NA
205,10,sub-21,ses-01,run-01,task-checker,tsCAP6,0.36749929205913906,['second_derivative'],NA,NA
206,10,sub-21,ses-01,run-01,task-checker,tsCAP7,0.20606390969992042,['pupil_dilation'],NA,NA
207,10,sub-21,ses-01,run-01,task-checker,tsCAP8,0.11741498985048746,['first_derivative'],NA,NA
208,10,sub-22,ses-01,run-01,task-checker,tsCAP1,0.19477546743831337,['pupil_dilation'],NA,NA
209,10,sub-22,ses-02,run-01,task-checker,tsCAP1,0.22310692761235482,['pupil_dilation'],NA,NA
210,10,sub-22,ses-01,run-01,task-checker,tsCAP2,0.0837955806453044,['first_derivative'],NA,NA
211,10,sub-22,ses-02,run-01,task-checker,tsCAP2,0.0525662926005813,['first_derivative'],NA,NA
212,10,sub-22,ses-01,run-01,task-checker,tsCAP3,0.04979476400713025,['first_derivative'],NA,NA
213,10,sub-22,ses-02,run-01,task-checker,tsCAP3,0.12059752121852098,['first_derivative'],NA,NA
214,10,sub-22,ses-01,run-01,task-checker,tsCAP4,0.05605366409433257,['pupil_dilation'],NA,NA
215,10,sub-22,ses-02,run-01,task-checker,tsCAP4,0.2660833655510842,['pupil_dilation'],NA,NA
216,10,sub-22,ses-01,run-01,task-checker,tsCAP5,-0.12345283636497281,['first_derivative'],NA,NA
217,10,sub-22,ses-02,run-01,task-checker,tsCAP5,0.27819263180302967,['first_derivative'],NA,NA
218,10,sub-22,ses-01,run-01,task-checker,tsCAP6,-0.09466788827871273,['second_derivative'],NA,NA
219,10,sub-22,ses-02,run-01,task-checker,tsCAP6,0.22345700807315616,['second_derivative'],NA,NA
220,10,sub-22,ses-01,run-01,task-checker,tsCAP7,-0.07858521263740151,['pupil_dilation'],NA,NA
221,10,sub-22,ses-02,run-01,task-checker,tsCAP7,0.34389408440789027,['pupil_dilation'],NA,NA
222,10,sub-22,ses-01,run-01,task-checker,tsCAP8,-0.06655562352530901,['first_derivative'],NA,NA
223,10,sub-22,ses-02,run-01,task-checker,tsCAP8,0.34843217626493966,['first_derivative'],NA,NA
